Ocupação;Quantitativo;Porcentagem;Data de carga
AGENCIADOR DE PROPAGANDA;61;0,0002;2024-01-19 18:39:50
AGENTE ADMINISTRATIVO;995;0,0025;2024-01-19 18:39:50
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;2605;0,0065;2024-01-19 18:39:50
Administrador;1960;0,0049;2024-01-19 18:39:50
Advogado;7477;0,0187;2024-01-19 18:39:50
Agente de Serviços Funerários e Embalsamador;39;0,0001;2024-01-19 18:39:50
Agente de Viagem e Guia de Turismo;124;0,0003;2024-01-19 18:39:50
Agrônomo;795;0,002;2024-01-19 18:39:50
Alfaiate;216;0,0005;2024-01-19 18:39:50
Analista de Sistemas;204;0,0005;2024-01-19 18:39:50
Aposentado (Exceto Funcionário Público);11245;0,0282;2024-01-19 18:39:50
Arquiteto;267;0,0007;2024-01-19 18:39:50
Assistente Social;432;0,0011;2024-01-19 18:39:50
Astrônomo e Meteorologista;1;0;2023-03-02 09:45:49
Atleta Profissional e Técnico em Desportos;139;0,0003;2024-01-19 18:39:50
Ator e Diretor de Espetáculos Públicos;78;0,0002;2024-01-19 18:39:50
Atuário e Matemático;6;0;2023-03-02 09:45:49
Auxiliar de Laboratório;374;0,0009;2024-01-19 18:39:50
BANCARIO E ECONOMIARIO;1846;0,0046;2024-01-19 18:39:50
Bibliotecário, Arquivista, Museólogo E Arqueólogo;52;0,0001;2024-01-19 18:39:50
Biólogo e Biomédico;143;0,0004;2024-01-19 18:39:50
Bombeiro e Instalador De Gás, Agua, Esgoto E Assemelhados;214;0,0005;2024-01-19 18:39:50
CHEFE INTERMEDIARIO;147;0,0004;2024-01-19 18:39:50
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;1449;0,0036;2024-01-19 18:39:50
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;2234;0,0056;2024-01-19 18:39:50
Cantor e Compositor;160;0,0004;2024-01-19 18:39:50
Capitalista de Ativos Financeiros;28;0,0001;2024-01-19 18:39:50
Comandante de Embarcações;14;0;2023-03-02 09:45:49
Comissario de Bordo;7;0;2023-03-02 09:45:49
Comunicólogo;62;0,0002;2023-03-02 09:45:49
Contador;2168;0,0054;2024-01-19 18:39:50
Contramestre de Embarcações;18;0;2023-03-02 09:45:49
Coreógrafo e Bailarino;19;0;2023-03-02 09:45:49
DECORADOR;69;0,0002;2023-03-02 09:45:49
DELEGADO DE POLICIA;283;0,0007;2024-01-19 18:39:50
DEMONSTRADOR;13;0;2023-03-02 09:45:49
DIPLOMATA;1;0;2023-03-02 09:45:49
DIRETOR DE EMPRESAS;440;0,0011;2024-01-19 18:39:50
DONA DE CASA;9410;0,0236;2024-01-19 18:39:50
Desenhista Comercial;121;0,0003;2023-03-02 09:45:49
Desenhista Industrial;35;0,0001;2024-01-19 18:39:50
Desenhista Técnico;157;0,0004;2024-01-19 18:39:50
Despachante, Inclusive o Aduaneiro;466;0,0012;2024-01-19 18:39:50
Diretor de Estabelecimento de Ensino;345;0,0009;2024-01-19 18:39:50
Economista;583;0,0015;2024-01-19 18:39:50
Eletricista de Manutenção de Veículos Automotores e Aparelhos;274;0,0007;2024-01-19 18:39:50
Eletricista e Assemelhados;2058;0,0052;2024-01-19 18:39:50
Empregado Doméstico;1259;0,0032;2024-01-19 18:39:50
Empresário e Produtor de Espetáculos Públicos;1999;0,005;2024-01-19 18:39:50
Enfermeiro e Nutricionista;2134;0,0053;2024-01-19 18:39:50
Engenheiro;2326;0,0058;2024-01-19 18:39:50
Escultor, Pintor e Assemelhados;368;0,0009;2024-01-19 18:39:50
Espólio;1;0;2023-03-02 09:45:49
Estatístico;6;0;2023-03-02 09:45:49
Estivador, Carregador, Embalador e Assemelhados;195;0,0005;2024-01-19 18:39:50
Estudante, Bolsista, Estagiário e Assemelhados;6514;0,0163;2024-01-19 18:39:50
FEIRANTE;254;0,0006;2024-01-19 18:39:50
FISCAL;380;0,001;2024-01-19 18:39:50
Farmacêutico;426;0,0011;2024-01-19 18:39:50
Fisioterapeuta e Terapeuta Ocupacional;151;0,0004;2024-01-19 18:39:50
Fonoaudiólogo;12;0;2024-01-19 18:39:50
Funcionário Público Civil Aposentado;2528;0,0063;2024-01-19 18:39:50
Físico;3;0;2023-03-02 09:45:49
GERENTE;1121;0,0028;2024-01-19 18:39:50
Garimpeiro;170;0,0004;2024-01-19 18:39:50
Geógrafo;28;0,0001;2024-01-19 18:39:50
Geólogo;36;0,0001;2024-01-19 18:39:50
Governanta de Hotel, Camareiro, Porteiro, Cozinheiro e Garcom;405;0,001;2023-03-02 09:45:49
JORNALEIRO;57;0,0001;2023-03-02 09:45:49
Joalheiros e Ourives;64;0,0002;2023-03-02 09:45:49
Jornalista;648;0,0016;2024-01-19 18:39:50
LEILOEIRO, AVALIADOR E ASSEMELHADOS;16;0;2024-01-19 18:39:50
Lanterneiro e Pintor de Veículos Metálicos;267;0,0007;2024-01-19 18:39:50
Locutor e Comentarista de Rádio e Televisão e Radialista;1585;0,004;2024-01-19 18:39:50
MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;665;0,0017;2024-01-19 18:39:50
MEMBROS DO PODER LEGISLATIVO: SENADOR, DEPUTADOS E VEREADOR;4834;0,0121;2024-01-19 18:39:50
MILITAR EM GERAL;3591;0,009;2024-01-19 18:39:50
MODELO DE MODAS;24;0,0001;2023-03-02 09:45:49
Maquinista e Foguista de Embarcações, Locomotivas e Assemelhados;103;0,0003;2024-01-19 18:39:50
Marinheiro e Assemelhados;132;0,0003;2024-01-19 18:39:50
Mecanico de Manutenção de Veículos Automotores e Máquinas;3183;0,008;2024-01-19 18:39:50
Mecânico de Manutenção, Operador de Aparelhos de Produção Industrial;885;0,0022;2024-01-19 18:39:50
Membros do Poder Judiciário: Ministro de Tribunal Superior, Magistrado;14;0;2024-01-19 18:39:50
Mestre e Contramestre;241;0,0006;2024-01-19 18:39:50
Militar Reformado;1290;0,0032;2024-01-19 18:39:50
Motorista de Veículos de Transporte de Carga;6397;0,016;2024-01-19 18:39:50
Motorista de Veículos de Transporte de Passageiros;12631;0,0316;2024-01-19 18:39:50
Médico;4656;0,0117;2024-01-19 18:39:50
Músico;620;0,0016;2024-01-19 18:39:50
Não Informada;22514;0,0564;2024-01-19 18:39:50
OCUPANTE DE CARGO DE DIRECAO E ASSESSORAMENTO INTERMEDIARIO;108;0,0003;2024-01-19 18:39:50
OCUPANTE DE CARGO DE DIRECAO E ASSESSORAMENTO SUPERIOR;525;0,0013;2024-01-19 18:39:50
OFICIAIS DAS FORCAS ARMADAS E FORCAS AUXILIARES;60;0,0002;2024-01-19 18:39:50
Odontólogo;1407;0,0035;2024-01-19 18:39:50
Operador de Câmeras de Cinema e Televisão;65;0,0002;2023-03-02 09:45:49
Outros;62460;0,1564;2024-01-19 18:39:50
PROCURADOR E ASSEMELHADOS;50;0,0001;2024-01-19 18:39:50
Pensionista;318;0,0008;2024-01-19 18:39:50
Piloto de Aeronaves;28;0,0001;2024-01-19 18:39:50
Porteiro de Edifício, Ascensorista, Garagista e Faxineiro;443;0,0011;2024-01-19 18:39:50
Professor de Ensino Superior;3368;0,0084;2024-01-19 18:39:50
Professor de Ensino de Primeiro e Segundo Graus;21240;0,0532;2024-01-19 18:39:50
Profissionais de Letras e de Artes;93;0,0002;2023-03-02 09:45:49
