Ocupação;Quantitativo;Porcentagem;Data de carga
Proprietário de Estabelecimento Agrícola, da Pecuária e Florestal;129;0,0086;2023-03-02 10:08:24
Proprietário de Estabelecimento Comercial;1128;0,075;2023-03-02 10:08:24
Proprietário de Estabelecimento Industrial;125;0,0083;2023-03-02 10:08:24
Proprietário de Estabelecimento de Prestação de Servicos;8;0,0005;2023-03-02 10:08:24
Proprietário de Microempresa;60;0,004;2023-03-02 10:08:24
Protético;11;0,0007;2023-03-02 10:08:24
Psicólogo;35;0,0023;2023-03-02 10:08:24
Publicitário;47;0,0031;2023-03-02 10:08:24
Químico;9;0,0006;2023-03-02 10:08:24
Relações Públicas;11;0,0007;2023-03-02 10:08:24
Sacerdote ou Membro de Ordens ou Seitas Religiosas;104;0,0069;2023-03-02 10:08:24
Secretário, Estenógrafo, Datilógrafo, Recepcionista, Telefonista, Etc;56;0,0037;2023-03-02 10:08:24
Securitário;11;0,0007;2023-03-02 10:08:24
Serventuário de Justiça;36;0,0024;2023-03-02 10:08:24
Servidor Público Estadual;881;0,0586;2023-03-02 10:08:24
Servidor Público Federal;215;0,0143;2023-03-02 10:08:24
Servidor Público Municipal;89;0,0059;2023-03-02 10:08:24
Sociólogo;20;0,0013;2023-03-02 10:08:24
Supervisores, Inspetor e Agente de Compras e Vendas;10;0,0007;2023-03-02 10:08:24
Tabelião;5;0,0003;2023-03-02 10:08:24
Tecnólogo;6;0,0004;2023-03-02 10:08:24
Trabalhador Agrícola;137;0,0091;2023-03-02 10:08:24
Trabalhador Florestal;1;0,0001;2023-03-02 10:08:24
Trabalhador Metalúrgico E Siderúrgico;39;0,0026;2023-03-02 10:08:24
Trabalhador da Pecuária;22;0,0015;2023-03-02 10:08:24
Trabalhador da Pesca;1;0,0001;2023-03-02 10:08:24
Trabalhador de Artes Gráficas;9;0,0006;2023-03-02 10:08:24
Trabalhador de Construção Civil;52;0,0035;2023-03-02 10:08:24
Trabalhador de Fabricação de Artefatos de Madeira;12;0,0008;2023-03-02 10:08:24
Trabalhador de Fabricação de Calçaados e Artefatos de Couro;3;0,0002;2023-03-02 10:08:24
Trabalhador de Fabricação de Papel e Papelão;1;0,0001;2023-03-02 10:08:24
Trabalhador de Fabricação de Roupas;3;0,0002;2023-03-02 10:08:24
Trabalhador de Fabricação e Preparação de Alimentos e Bebidas;4;0,0003;2023-03-02 10:08:24
Trabalhador de Instalações de Processamento Químico;2;0,0001;2023-03-02 10:08:24
Trabalhador de Usinagem de Metais;4;0,0003;2023-03-02 10:08:24
Trabalhador dos Servicos de Contabilidade, de Caixa e Assemelhados;7;0,0005;2023-03-02 10:08:24
Técnico de Biologia;2;0,0001;2023-03-02 10:08:24
Técnico de Contabilidade e de Estatística;52;0,0035;2023-03-02 10:08:24
Técnico de Eletricidade, Eletrônica e Telecomunicações;61;0,0041;2023-03-02 10:08:24
Técnico de Laboratório e Raios X;13;0,0009;2023-03-02 10:08:24
Técnico de Mecânica;11;0,0007;2023-03-02 10:08:24
Técnico de Química;6;0,0004;2023-03-02 10:08:24
Técnico em Agronomia e Agrimensura;57;0,0038;2023-03-02 10:08:24
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;101;0,0067;2023-03-02 10:08:24
Vendedor de Comércio Varejista e Atacadista;239;0,0159;2023-03-02 10:08:24
Veterinário e Zootecnista;42;0,0028;2023-03-02 10:08:24
