Ocupação;Quantitativo;Porcentagem;Data de carga
Gerente;2232;0,0045;2023-03-13 15:28:45
Geógrafo;52;0,0001;2023-03-13 15:28:45
Geólogo;21;0;2023-03-13 15:28:45
Governanta;19;0;2023-03-13 15:28:45
Guardador de Veículos;17;0;2023-03-13 15:28:45
Guia de Turismo;76;0,0002;2023-03-13 15:28:45
Historiador;69;0,0001;2023-03-13 15:28:45
Industrial;733;0,0015;2023-03-13 15:28:45
Jardineiro;353;0,0007;2023-03-13 15:28:45
Joalheiro e Ourives;12;0;2023-03-13 15:28:45
Jornaleiro;47;0,0001;2023-03-13 15:28:45
Jornalista e Redator;1319;0,0027;2023-03-13 15:28:45
Lanterneiro e Pintor de Veículos;164;0,0003;2023-03-13 15:28:45
Lavador de Veículos;159;0,0003;2023-03-13 15:28:45
Lavandeiro, Tintureiro e Assemelhados;38;0,0001;2023-03-13 15:28:45
Leiloeiro, Avaliador e Assemelhados;17;0;2023-03-13 15:28:45
Leiturista;73;0,0001;2023-03-13 15:28:45
Locutor e Comentarista de Rádio e Televisão e Radialista;1541;0,0031;2023-03-13 15:28:45
Magistrado;11;0;2023-03-13 15:28:45
Manicure e Maquilador;641;0,0013;2023-03-13 15:28:45
Maquinista e Foguista de Embarcações e Assemelhados;24;0;2023-03-13 15:28:45
Marinheiro Civil, Canoeiro, Embarcado e Assemelhados;132;0,0003;2023-03-13 15:28:45
Massagista;127;0,0003;2023-03-13 15:28:45
Matemático e Atuário;19;0;2023-03-13 15:28:45
Mecânico de Manutenção;3072;0,0062;2023-03-13 15:28:45
Membro das Forças Armadas;123;0,0002;2023-03-13 15:28:45
Membro do Ministério Público;10;0;2023-03-13 15:28:45
Mestre e Contramestre de Embarcação;13;0;2023-03-13 15:28:45
Meteorologista;4;0;2023-03-13 15:28:45
Militar Reformado;1362;0,0027;2023-03-13 15:28:45
Ministro de Estado;25;0,0001;2023-03-13 15:28:45
Modelo;31;0,0001;2023-03-13 15:28:45
Montador de Estrutura Metálica;198;0,0004;2023-03-13 15:28:45
Montador de Máquinas;70;0,0001;2023-03-13 15:28:45
Motoboy;1072;0,0022;2023-03-13 15:28:45
Motorista Particular;4799;0,0097;2023-03-13 15:28:45
Motorista de Veículos de Transporte Coletivo de Passageiros;7209;0,0145;2023-03-13 15:28:45
Motorista de Veículos de Transporte de Carga;5076;0,0102;2023-03-13 15:28:45
Médico;2526;0,0051;2023-03-13 15:28:45
Músico;1088;0,0022;2023-03-13 15:28:45
Nutricionista e Assemelhados;212;0,0004;2023-03-13 15:28:45
Não divulgável;92;0,0002;2023-03-13 15:39:09
Oceanógrafo;79;0,0002;2023-03-13 15:28:45
Ocupante de Cargo em Comissão;596;0,0012;2023-03-13 15:28:45
Odontólogo;1221;0,0025;2023-03-13 15:28:45
Office-Boy e Contínuo;66;0,0001;2023-03-13 15:28:45
Operador de Aparelhos de Produção Industrial;1159;0,0023;2023-03-13 15:28:45
Operador de Computador;127;0,0003;2023-03-13 15:28:45
Operador de Equipamento Médico e Odontológico;20;0;2023-03-13 15:28:45
Operador de Equipamento de Rádio, Televisão, Som e Cinema;156;0,0003;2023-03-13 15:28:45
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;639;0,0013;2023-03-13 15:28:45
Operador de Instalação de Produção de Energia Elétrica e Nuclear;48;0,0001;2023-03-13 15:28:45
Outros;90789;0,1827;2023-03-13 15:28:45
Padeiro, Confeiteiro e Assemelhados;915;0,0018;2023-03-13 15:28:45
Paramédico;3;0;2023-03-13 15:28:45
Pecuarista;1889;0,0038;2023-03-13 15:28:45
Pedagogo;2214;0,0045;2023-03-13 15:28:45
Pescador;2580;0,0052;2023-03-13 15:28:45
Petroleiro;24;0;2023-03-13 15:28:45
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;38;0,0001;2023-03-13 15:28:45
Policial Civil;1025;0,0021;2023-03-13 15:28:45
Policial Militar;3195;0,0064;2023-03-13 15:28:45
Porteiro de Edifício, Ascensorista, Garagista e Zelador;602;0,0012;2023-03-13 15:28:45
Prefeito;2034;0,0041;2023-03-13 15:28:45
Produtor Agropecuário;2830;0,0057;2023-03-13 15:28:45
Produtor de Espetáculos Públicos;236;0,0005;2023-03-13 15:28:45
Professor de Ensino Fundamental;12132;0,0244;2023-03-13 15:28:45
Professor de Ensino Médio;9140;0,0184;2023-03-13 15:28:45
Professor de Ensino Superior;1329;0,0027;2023-03-13 15:28:45
Professor e Instrutor de Formação Profissional;1243;0,0025;2023-03-13 15:28:45
Programador de Computador;60;0,0001;2023-03-13 15:28:45
Protético;192;0,0004;2023-03-13 15:28:45
Psicólogo;697;0,0014;2023-03-13 15:28:45
