Ocupação;Quantitativo;Porcentagem;Data de carga
JARDINEIRO;3;0,0002;2023-03-29 11:16:54
JOALHEIROS E OURIVES;6;0,0003;2023-03-29 11:16:54
JORNALEIRO;2;0,0001;2023-03-29 11:16:54
JORNALISTA E REDATOR;210;0,0106;2023-03-29 11:16:54
LANTERNEIRO E PINTOR DE VEICULOS;5;0,0003;2023-03-29 11:16:54
LEILOEIRO, AVALIADOR E ASSEMELHADOS;2;0,0001;2023-03-29 11:16:54
LEITURISTA;1;0,0001;2023-03-29 11:16:54
LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;165;0,0083;2023-03-29 11:16:54
MARINHEIRO CIVIL, CANOEIRO, EMBARCADO E ASSEMELHADOS;1;0,0001;2023-03-29 11:16:54
MATEMATICO E ATUARIO;2;0,0001;2023-03-29 11:16:54
MECANICO DE MANUTENCAO;54;0,0027;2023-03-29 11:16:54
MEDICO;857;0,0432;2023-03-29 11:16:54
MEMBRO DAS FORCAS ARMADAS;76;0,0038;2023-03-29 11:16:54
MEMBRO DO MINISTERIO PUBLICO;15;0,0008;2023-03-29 11:16:54
MESTRE E CONTRAMESTRE DE EMBARCACAO;1;0,0001;2023-03-29 11:16:54
MILITAR REFORMADO;171;0,0086;2023-03-29 11:16:54
MINISTRO DO PODER JUDICIARIO E MAGISTRADO;2;0,0001;2023-03-29 11:16:54
MODELO;1;0,0001;2023-03-29 11:16:54
MONTADOR DE MAQUINAS;4;0,0002;2023-03-29 11:16:54
MOTOBOY;7;0,0004;2023-03-29 11:16:54
MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;130;0,0066;2023-03-29 11:16:54
MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA;53;0,0027;2023-03-29 11:16:54
MUSICO;34;0,0017;2023-03-29 11:16:54
NUTRICIONISTA E TRABALHADOR ASSEMELHADO;6;0,0003;2023-03-29 11:16:54
Não informada;2570;0,1295;2023-03-29 11:16:54
OCUPANTE DE CARGO EM COMISSAO;14;0,0007;2023-03-29 11:16:54
ODONTOLOGO;107;0,0054;2023-03-29 11:16:54
OPERADOR DE APARELHOS DE PRODUCAO INDUSTRIAL;12;0,0006;2023-03-29 11:16:54
OPERADOR DE COMPUTADOR;15;0,0008;2023-03-29 11:16:54
OPERADOR DE EQUIP DE RADIO TELEV E DE SONORIZACAO E PROJECOES CINEMAT;4;0,0002;2023-03-29 11:16:54
OPERADOR DE EQUIPAMENTO MEDICO E ODONTOLOGICO;2;0,0001;2023-03-29 11:16:54
OPERADOR DE IMPLEMENTO DE AGRICULTURA, PECUARIA E EXPLORACAO FLORESTAL;1;0,0001;2023-03-29 11:16:54
OPERADOR DE INSTALACAO DE PRODUCAO DE ENERGIA ELETRICA E NUCLEAR;2;0,0001;2023-03-29 11:16:54
OUTROS;1204;0,0607;2023-03-29 11:16:54
PADEIRO, CONFEITEIRO E TRABALHADOR ASSEMELHADO;5;0,0003;2023-03-29 11:16:54
PARAMEDICO;3;0,0002;2023-03-29 11:16:54
PECUARISTA;138;0,007;2023-03-29 11:16:54
PEDAGOGO;58;0,0029;2023-03-29 11:16:54
PESCADOR;5;0,0003;2023-03-29 11:16:54
PETROLEIRO;11;0,0006;2023-03-29 11:16:54
PILOTO DE AVIACAO COMERCIAL, NAVEGADOR, MECANICO DE VOO E ASSEMELHADOS;7;0,0004;2023-03-29 11:16:54
POLICIAL CIVIL;112;0,0056;2023-03-29 11:16:54
POLICIAL MILITAR;399;0,0201;2023-03-29 11:16:54
PORTEIRO DE EDIFICIO, ASCENSORISTA, GARAGISTA, FAXINEIRO E ZELADOR;15;0,0008;2023-03-29 11:16:54
PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;12;0,0006;2023-03-29 11:16:54
PRODUTOR AGROPECUARIO;60;0,003;2023-03-29 11:16:54
PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;884;0,0446;2023-03-29 11:16:54
PROFESSOR DE ENSINO SUPERIOR;298;0,015;2023-03-29 11:16:54
PROFESSOR E INSTRUTOR DE FORMACAO PROFISSIONAL;58;0,0029;2023-03-29 11:16:54
PROGRAMADOR DE COMPUTADOR;8;0,0004;2023-03-29 11:16:54
PROTETICO;15;0,0008;2023-03-29 11:16:54
PSICOLOGO;38;0,0019;2023-03-29 11:16:54
PUBLICITARIO;73;0,0037;2023-03-29 11:16:54
QUIMICO;8;0,0004;2023-03-29 11:16:54
RELACOES PUBLICAS;17;0,0009;2023-03-29 11:16:54
RELOJOEIRO E MONTADOR DE INSTRUMENTO DE PRECISAO;1;0,0001;2023-03-29 11:16:54
REPRESENTANTE COMERCIAL;121;0,0061;2023-03-29 11:16:54
SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;184;0,0093;2023-03-29 11:16:54
SECRETARIO,ESTENOGRAFO,DATILOGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUIGRAF;74;0,0037;2023-03-29 11:16:54
SECURITARIO;12;0,0006;2023-03-29 11:16:54
SENADOR, DEPUTADO E VEREADOR;1159;0,0584;2023-03-29 11:16:54
SERRALHEIRO;13;0,0007;2023-03-29 11:16:54
SERVENTUARIO DE JUSTICA;42;0,0021;2023-03-29 11:16:54
SERVIDOR PUBLICO CIVIL APOSENTADO;172;0,0087;2023-03-29 11:16:54
SERVIDOR PUBLICO ESTADUAL;655;0,033;2023-03-29 11:16:54
SERVIDOR PUBLICO FEDERAL;417;0,021;2023-03-29 11:16:54
SERVIDOR PUBLICO MUNICIPAL;250;0,0126;2023-03-29 11:16:54
SOCIOLOGO;35;0,0018;2023-03-29 11:16:54
SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS;16;0,0008;2023-03-29 11:16:54
TABELIAO;16;0,0008;2023-03-29 11:16:54
TAPECEIRO;1;0,0001;2023-03-29 11:16:54
TAXISTA E MOTORISTA PARTICULAR;34;0,0017;2023-03-29 11:16:54
TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO;108;0,0054;2023-03-29 11:16:54
TECNICO DE BIOLOGIA;1;0,0001;2023-03-29 11:16:54
TECNICO DE ELETRICIDADE, ELETRONICA E TELECOMUNICACOES;79;0,004;2023-03-29 11:16:54
TECNICO DE ENFERMAGEM E TRABALHADOR ASSEMELHADO (EXCETO ENFERMEIRO);34;0,0017;2023-03-29 11:16:54
TECNICO DE LABORATORIO E RAIOS X;20;0,001;2023-03-29 11:16:54
TECNICO DE MECANICA;13;0,0007;2023-03-29 11:16:54
TECNICO DE MINERACAO, METALURGIA E GEOLOGIA;5;0,0003;2023-03-29 11:16:54
TECNICO DE OBRAS CIVIS, ESTRADAS, SANEAMENTO E TRABALHADOR ASSEMELHADO;14;0,0007;2023-03-29 11:16:54
TECNICO DE QUIMICA;6;0,0003;2023-03-29 11:16:54
TECNICO EM AGRONOMIA E AGRIMENSURA;24;0,0012;2023-03-29 11:16:54
TECNICO EM EDIFICACOES;8;0,0004;2023-03-29 11:16:54
TECNICO TEXTIL;1;0,0001;2023-03-29 11:16:54
TERAPEUTA;7;0,0004;2023-03-29 11:16:54
TORNEIRO MECANICO;4;0,0002;2023-03-29 11:16:54
TRABALHADOR DE ARTES GRAFICAS;13;0,0007;2023-03-29 11:16:54
TRABALHADOR DE CONSTRUCAO CIVIL;57;0,0029;2023-03-29 11:16:54
TRABALHADOR DE FABRICACAO DE ARTEFATOS DE MADEIRA;10;0,0005;2023-03-29 11:16:54
TRABALHADOR DE FABRICACAO DE CALCADOS E ARTEFATOS DE COURO;4;0,0002;2023-03-29 11:16:54
TRABALHADOR DE FABRICACAO DE PRODUTOS DE BORRACHA E PLASTICO;2;0,0001;2023-03-29 11:16:54
TRABALHADOR DE FABRICACAO DE ROUPAS;2;0,0001;2023-03-29 11:16:54
TRABALHADOR DE FABRICACAO E PREPARACAO DE ALIMENTOS E BEBIDAS;5;0,0003;2023-03-29 11:16:54
TRABALHADOR DE HOTELARIA;7;0,0004;2023-03-29 11:16:54
TRABALHADOR DE MINAS E PEDREIRAS, SONDADOR E TRABALHADOR ASSEMELHADO;2;0,0001;2023-03-29 11:16:54
TRABALHADOR DE USINAGEM DE METAIS;2;0,0001;2023-03-29 11:16:54
TRABALHADOR DOS SERVICOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;2;0,0001;2023-03-29 11:16:54
TRABALHADOR EM ATIVIDADE DE PROCESSAMENTO QUIMICO;2;0,0001;2023-03-29 11:16:54
TRABALHADOR FLORESTAL;3;0,0002;2023-03-29 11:16:54
TRABALHADOR METALURGICO E SIDERURGICO;27;0,0014;2023-03-29 11:16:54
VENDEDOR DE COMERCIO VAREJISTA E ATACADISTA;98;0,0049;2023-03-29 11:16:54
VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;100;0,005;2023-03-29 11:16:54
VETERINARIO;44;0,0022;2023-03-29 11:16:54
VIGILANTE;76;0,0038;2023-03-29 11:16:54
ZOOTECNISTA;7;0,0004;2023-03-29 11:16:54
