Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;522;0,0232;2023-03-01 13:21:52
Advogado;1355;0,0601;2023-03-01 13:21:52
Agenciador de Propaganda;4;0,0002;2023-03-01 13:21:52
Agente Administrativo;196;0,0087;2023-03-01 13:21:52
Agente Postal;18;0,0008;2023-03-01 13:21:52
Agente de Saúde e Sanitarista;53;0,0024;2023-03-01 13:21:52
Agente de Serviços Funerários e Embalsamador;1;0;2023-03-01 13:21:52
Agente de Viagem;9;0,0004;2023-03-01 13:21:52
Agricultor;221;0,0098;2023-03-01 13:21:52
Agrônomo;29;0,0013;2023-03-01 13:21:52
Alfaiate e Costureiro;6;0,0003;2023-03-01 13:21:52
Almoxarife;8;0,0004;2023-03-01 13:21:52
Analista de Sistemas;38;0,0017;2023-03-01 13:21:52
Antropólogo;1;0;2023-03-01 13:21:52
Aposentado (Exceto Servidor Público);568;0,0252;2023-03-01 13:21:52
Arqueólogo;2;0,0001;2023-03-01 13:21:52
Arquiteto;38;0,0017;2023-03-01 13:21:52
Arquivista e Museólogo;3;0,0001;2023-03-01 13:21:52
Artesão;38;0,0017;2023-03-01 13:21:52
Artista Plástico e Assemelhados;17;0,0008;2023-03-01 13:21:52
Artista de Circo;3;0,0001;2023-03-01 13:21:52
Assistente Social;57;0,0025;2023-03-01 13:21:52
Astrólogo;1;0;2023-03-01 13:21:52
Astrônomo;12;0,0005;2023-03-01 13:21:52
Atendente de Lanchonete e Restaurante;9;0,0004;2023-03-01 13:21:52
Atleta Profissional e Técnico em Desportos;25;0,0011;2023-03-01 13:21:52
Ator e Diretor de Espetáculos Públicos;25;0,0011;2023-03-01 13:21:52
Auxiliar de Escritório e Assemelhados;188;0,0083;2023-03-01 13:21:52
Auxiliar de Laboratório;9;0,0004;2023-03-01 13:21:52
Bancário e Economiário;137;0,0061;2023-03-01 13:21:52
Bibliotecário;5;0,0002;2023-03-01 13:21:52
Biomédico;9;0,0004;2023-03-01 13:21:52
Biólogo;21;0,0009;2023-03-01 13:21:52
Bombeiro Civil;6;0,0003;2023-03-01 13:21:52
Bombeiro Militar;68;0,003;2023-03-01 13:21:52
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;2;0,0001;2023-03-01 13:21:52
Cabeleireiro e Barbeiro;91;0,004;2023-03-01 13:21:52
Cantor e Compositor;71;0,0032;2023-03-01 13:21:52
Capitalista de Ativos Financeiros;1;0;2023-03-01 13:21:52
Carpinteiro, Marceneiro e Assemelhados;12;0,0005;2023-03-01 13:21:52
Carvoeiro;1;0;2023-03-01 13:21:52
Catador de Recicláveis;3;0,0001;2023-03-01 13:21:52
Chaveiro;4;0,0002;2023-03-01 13:21:52
Cientista Político;6;0,0003;2023-03-01 13:21:52
Cobrador de Transporte Coletivo;19;0,0008;2023-03-01 13:21:52
Comerciante;1135;0,0504;2023-03-01 13:21:52
Comerciário;123;0,0055;2023-03-01 13:21:52
Comunicólogo;11;0,0005;2023-03-01 13:21:52
Contador;190;0,0084;2023-03-01 13:21:52
Corretor de Imóveis, Seguros, Títulos e Valores;184;0,0082;2023-03-01 13:21:52
Cortador, Polidor e Gravador de Pedras;1;0;2023-03-01 13:21:52
Cozinheiro;19;0,0008;2023-03-01 13:21:52
Decorador;4;0,0002;2023-03-01 13:21:52
Demonstrador;2;0,0001;2023-03-01 13:21:52
Deputado;1095;0,0486;2023-03-01 13:21:52
Desenhista;11;0,0005;2023-03-01 13:21:52
Despachante;20;0,0009;2023-03-01 13:21:52
Detetive Particular;4;0,0002;2023-03-01 13:21:52
