Ocupação;Quantitativo;Porcentagem;Data de carga
Frentista;835;0,0018;2024-12-29 16:30:14
Estudante, Bolsista, Estagiário e Assemelhados;4628;0,01;2024-12-29 16:30:14
Carpinteiro, Marceneiro e Assemelhados;934;0,002;2024-12-29 16:30:14
Técnico de Mecânica;182;0,0004;2024-12-29 16:30:14
Cantor e Compositor;591;0,0013;2024-12-29 16:30:14
Técnico em Informática;350;0,0008;2024-12-29 16:30:14
Pecuarista;1628;0,0035;2024-12-29 16:30:14
Garçom;342;0,0007;2024-12-29 16:30:14
Publicitário;443;0,001;2024-12-29 16:30:14
Padeiro, Confeiteiro e Assemelhados;860;0,0019;2024-12-29 16:30:14
Técnico em Edificações;132;0,0003;2024-12-29 16:30:14
Artista Plástico e Assemelhados;176;0,0004;2024-12-29 16:30:14
TAXISTA E MOTORISTA PARTICULAR;89;0,0002;2024-12-29 16:30:14
Historiador;61;0,0001;2024-12-29 16:30:14
Zootecnista;79;0,0002;2024-12-29 16:30:14
Funileiro;208;0,0004;2024-12-29 16:30:14
Tradutor, Intérprete e Filólogo;21;0;2024-12-29 16:30:14
Paramédico;6;0;2024-12-29 16:30:14
Sociólogo;75;0,0002;2024-12-29 16:30:14
Estivador, Carregador e Assemelhados;48;0,0001;2024-12-29 16:30:14
Técnico de Biologia;10;0;2024-12-29 16:30:14
Empresário;35369;0,0763;2024-12-29 16:30:14
Supervisor, Inspetor e Agente de Compras e Vendas;503;0,0011;2024-12-29 16:30:14
Cabeleireiro e Barbeiro;3489;0,0075;2024-12-29 16:30:14
Sacerdote ou Membro de Ordem ou Seita Religiosa;665;0,0014;2024-12-29 16:30:14
Bancário e Economiário;463;0,001;2024-12-29 16:30:14
Comunicólogo;119;0,0003;2024-12-29 16:30:14
Policial Civil;829;0,0018;2024-12-29 16:30:14
Lavandeiro, Tintureiro e Assemelhados;36;0,0001;2024-12-29 16:30:14
Trabalhador Metalúrgico e Siderúrgico;236;0,0005;2024-12-29 16:30:14
Trabalhador em Atividade de Processamento Químico;10;0;2024-12-29 16:30:14
Guia de Turismo;124;0,0003;2024-12-29 16:30:14
Modelo;30;0,0001;2024-12-29 16:30:14
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);42;0,0001;2024-12-29 16:30:14
Nutricionista e Assemelhados;360;0,0008;2024-12-29 16:30:14
Montador de Máquinas;41;0,0001;2024-12-29 16:30:14
Leiloeiro, Avaliador e Assemelhados;18;0;2024-12-29 16:30:14
Agenciador de Propaganda;62;0,0001;2024-12-29 16:30:14
Office-Boy e Contínuo;36;0,0001;2024-12-29 16:30:14
Guardador de Veículos;5;0;2024-12-29 16:30:14
Vendedor de Comércio Varejista e Atacadista;3837;0,0083;2024-12-29 16:30:14
Artesão;756;0,0016;2024-12-29 16:30:14
Economista Doméstico;9;0;2024-12-29 16:30:14
Professor e Instrutor de Formação Profissional;1146;0,0025;2024-12-29 16:30:14
Agente Postal;189;0,0004;2024-12-29 16:30:14
Químico;53;0,0001;2024-12-29 16:30:14
Tabelião;28;0,0001;2024-12-29 16:30:14
Agente de Viagem;81;0,0002;2024-12-29 16:30:14
Senador;4;0;2024-12-29 16:30:14
Comissário de Bordo;6;0;2024-12-29 16:30:14
Petroleiro;12;0;2024-12-29 16:30:14
AGENTE DE VIAGEM E GUIA DE TURISMO;25;0,0001;2024-12-29 16:30:14
Físico;5;0;2024-12-29 16:30:14
Corretor de Imóveis, Seguros, Títulos e Valores;2443;0,0053;2024-12-29 16:30:14
Enfermeiro;4079;0,0088;2024-12-29 16:30:14
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);4422;0,0095;2024-12-29 16:30:14
Vigilante;3366;0,0073;2024-12-29 16:30:14
Almoxarife;249;0,0005;2024-12-29 16:30:14
Escultor e Pintor;100;0,0002;2024-12-29 16:30:14
Serventuário de Justiça;90;0,0002;2024-12-29 16:30:14
Estofador;39;0,0001;2024-12-29 16:30:14
Salva-Vidas;34;0,0001;2024-12-29 16:30:14
Lanterneiro e Pintor de Veículos;91;0,0002;2024-12-29 16:30:14
Capitalista de Ativos Financeiros;12;0;2024-12-29 16:30:14
Artista de Circo;17;0;2024-12-29 16:30:14
Detetive Particular;5;0;2024-12-29 16:30:14
Aposentado (Exceto Servidor Público);17484;0,0377;2024-12-29 16:30:14
Motorista Particular;5005;0,0108;2024-12-29 16:30:14
Faxineiro;898;0,0019;2024-12-29 16:30:14
Técnico de Eletricidade, Eletrônica e Telecomunicações;679;0,0015;2024-12-29 16:30:14
Trabalhador de Artes Gráficas;45;0,0001;2024-12-29 16:30:14
Prefeito;2081;0,0045;2024-12-29 16:30:14
