Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;341;0,0177;2023-03-01 16:46:07
Advogado;1434;0,0744;2023-03-01 16:46:07
Agenciador de Propaganda;4;0,0002;2023-03-01 16:46:07
Agente Administrativo;66;0,0034;2023-03-01 16:46:07
Agente Postal;25;0,0013;2023-03-01 16:46:07
Agente de Saúde e Sanitarista;21;0,0011;2023-03-01 16:46:07
Agente de Viagem;12;0,0006;2023-03-01 16:46:07
Agricultor;181;0,0094;2023-03-01 16:46:07
Agrônomo;36;0,0019;2023-03-01 16:46:07
Alfaiate e Costureiro;7;0,0004;2023-03-01 16:46:07
Almoxarife;7;0,0004;2023-03-01 16:46:07
Analista de Sistemas;34;0,0018;2023-03-01 16:46:07
Aposentado (Exceto Servidor Público);355;0,0184;2023-03-01 16:46:07
Arquiteto;42;0,0022;2023-03-01 16:46:07
Arquivista e Museólogo;1;0,0001;2023-03-01 16:46:07
Artesão;22;0,0011;2023-03-01 16:46:07
Artista Plástico e Assemelhados;20;0,001;2023-03-01 16:46:07
Artista de Circo;5;0,0003;2023-03-01 16:46:07
Assistente Social;40;0,0021;2023-03-01 16:46:07
Astrólogo;1;0,0001;2023-03-01 16:46:07
Astrônomo;2;0,0001;2023-03-01 16:46:07
Atleta Profissional e Técnico em Desportos;17;0,0009;2023-03-01 16:46:07
Ator e Diretor de Espetáculos Públicos;23;0,0012;2023-03-01 16:46:07
Auxiliar de Escritório e Assemelhados;67;0,0035;2023-03-01 16:46:07
Auxiliar de Laboratório;2;0,0001;2023-03-01 16:46:07
Bacteriologista e Assemelhados;1;0,0001;2023-03-01 16:46:07
Bancário e Economiário;147;0,0076;2023-03-01 16:46:07
Bibliotecário;5;0,0003;2023-03-01 16:46:07
Biomédico;5;0,0003;2023-03-01 16:46:07
Biólogo;14;0,0007;2023-03-01 16:46:07
Bombeiro Civil;3;0,0002;2023-03-01 16:46:07
Bombeiro Militar;89;0,0046;2023-03-01 16:46:07
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;1;0,0001;2023-03-01 16:46:07
Cabeleireiro e Barbeiro;42;0,0022;2023-03-01 16:46:07
Cantor e Compositor;48;0,0025;2023-03-01 16:46:07
Capitalista de Ativos Financeiros;1;0,0001;2023-03-01 16:46:07
Carpinteiro, Marceneiro e Assemelhados;22;0,0011;2023-03-01 16:46:07
Catador de Recicláveis;2;0,0001;2023-03-01 16:46:07
Chaveiro;1;0,0001;2023-03-01 16:46:07
Cientista Político;12;0,0006;2023-03-01 16:46:07
Cobrador de Transporte Coletivo;10;0,0005;2023-03-01 16:46:07
Comerciante;1358;0,0705;2023-03-01 16:46:07
Comerciário;99;0,0051;2023-03-01 16:46:07
Comissário de Bordo;1;0,0001;2023-03-01 16:46:07
Comunicólogo;2;0,0001;2023-03-01 16:46:07
Contador;144;0,0075;2023-03-01 16:46:07
Coreógrafo e Bailarino;2;0,0001;2023-03-01 16:46:07
