Ocupação;Quantitativo;Porcentagem;Data de carga
Geofísico;1;0;2024-09-30 11:01:17
Gerente;2283;0,0041;2024-09-30 11:01:17
Geógrafo;84;0,0002;2024-09-30 11:01:17
Geólogo;15;0;2024-09-30 11:01:17
Governanta;17;0;2024-09-30 11:01:17
Guardador de Veículos;8;0;2024-09-30 11:01:17
Guia de Turismo;164;0,0003;2024-09-30 11:01:17
Historiador;82;0,0001;2024-09-30 11:01:17
Industrial;631;0,0011;2024-09-30 11:01:17
Jardineiro;461;0,0008;2024-09-30 11:01:17
Joalheiro e Ourives;16;0;2024-09-30 11:01:17
Jornaleiro;42;0,0001;2024-09-30 11:01:17
Jornalista e Redator;1620;0,0029;2024-09-30 11:01:17
Lanterneiro e Pintor de Veículos;176;0,0003;2024-09-30 11:01:17
Lavador de Veículos;176;0,0003;2024-09-30 11:01:17
Lavandeiro, Tintureiro e Assemelhados;50;0,0001;2024-09-30 11:01:17
Leiloeiro, Avaliador e Assemelhados;9;0;2024-09-30 11:01:17
Leiturista;82;0,0001;2024-09-30 11:01:17
Locutor e Comentarista de Rádio e Televisão e Radialista;1674;0,003;2024-09-30 11:01:17
Magistrado;10;0;2024-09-30 11:01:17
Manicure e Maquilador;1007;0,0018;2024-09-30 11:01:17
Maquinista e Foguista de Embarcações e Assemelhados;27;0;2024-09-30 11:01:17
Marinheiro Civil, Canoeiro, Embarcado e Assemelhados;155;0,0003;2024-09-30 11:01:17
Massagista;213;0,0004;2024-09-30 11:01:17
Matemático e Atuário;21;0;2024-09-30 11:01:17
Mecânico de Manutenção;3439;0,0062;2024-09-30 11:01:17
Membro das Forças Armadas;187;0,0003;2024-09-30 11:01:17
Membro do Ministério Público;4;0;2024-09-30 11:01:17
Mestre e Contramestre de Embarcação;11;0;2024-09-30 11:01:17
Meteorologista;2;0;2024-09-30 11:01:17
Militar Reformado;1751;0,0031;2024-09-30 11:01:17
Ministro de Estado;9;0;2024-09-30 11:01:17
Ministro do Poder Judiciário;1;0;2024-09-30 11:01:17
Modelo;40;0,0001;2024-09-30 11:01:17
Montador de Estrutura Metálica;175;0,0003;2024-09-30 11:01:17
Montador de Máquinas;58;0,0001;2024-09-30 11:01:17
Motoboy;1320;0,0024;2024-09-30 11:01:17
Motorista Particular;6088;0,0109;2024-09-30 11:01:17
Motorista de Veículos de Transporte Coletivo de Passageiros;6156;0,011;2024-09-30 11:01:17
Motorista de Veículos de Transporte de Carga;5221;0,0094;2024-09-30 11:01:17
Médico;2734;0,0049;2024-09-30 11:01:17
Músico;1526;0,0027;2024-09-30 11:01:17
Nutricionista e Assemelhados;315;0,0006;2024-09-30 11:01:17
Não divulgável;279;0,0005;2024-09-30 11:01:17
Oceanógrafo;29;0,0001;2024-09-30 11:01:17
Ocupante de Cargo em Comissão;491;0,0009;2024-09-30 11:01:17
Odontólogo;1364;0,0024;2024-09-30 11:01:17
Office-Boy e Contínuo;59;0,0001;2024-09-30 11:01:17
Operador de Aparelhos de Produção Industrial;1289;0,0023;2024-09-30 11:01:17
Operador de Computador;123;0,0002;2024-09-30 11:01:17
Operador de Equipamento Médico e Odontológico;29;0,0001;2024-09-30 11:01:17
Operador de Equipamento de Rádio, Televisão, Som e Cinema;138;0,0002;2024-09-30 11:01:17
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;685;0,0012;2024-09-30 11:01:17
Operador de Instalação de Produção de Energia Elétrica e Nuclear;39;0,0001;2024-09-30 11:01:17
