Ocupação;Quantitativo;Porcentagem;Data de carga
Carpinteiro, Marceneiro e Assemelhados;934;0,002;2024-12-23 08:30:13
Estudante, Bolsista, Estagiário e Assemelhados;4628;0,01;2024-12-23 08:30:13
Publicitário;443;0,001;2024-12-23 08:30:13
Padeiro, Confeiteiro e Assemelhados;860;0,0019;2024-12-23 08:30:13
Zootecnista;79;0,0002;2024-12-23 08:30:13
Pecuarista;1628;0,0035;2024-12-23 08:30:13
Cantor e Compositor;591;0,0013;2024-12-23 08:30:13
Frentista;835;0,0018;2024-12-23 08:30:13
Garçom;342;0,0007;2024-12-23 08:30:13
Técnico em Informática;350;0,0008;2024-12-23 08:30:13
Técnico em Edificações;132;0,0003;2024-12-23 08:30:13
Sociólogo;75;0,0002;2024-12-23 08:30:13
Funileiro;208;0,0004;2024-12-23 08:30:13
Técnico de Mecânica;182;0,0004;2024-12-23 08:30:13
Artista Plástico e Assemelhados;176;0,0004;2024-12-23 08:30:13
Historiador;61;0,0001;2024-12-23 08:30:13
Técnico de Biologia;10;0;2024-12-23 08:30:13
TAXISTA E MOTORISTA PARTICULAR;89;0,0002;2024-12-23 08:30:13
Estivador, Carregador e Assemelhados;48;0,0001;2024-12-23 08:30:13
Tradutor, Intérprete e Filólogo;21;0;2024-12-23 08:30:13
Paramédico;6;0;2024-12-23 08:30:13
Empresário;35369;0,0763;2024-12-23 08:30:13
Nutricionista e Assemelhados;360;0,0008;2024-12-23 08:30:13
Bancário e Economiário;463;0,001;2024-12-23 08:30:13
Cabeleireiro e Barbeiro;3489;0,0075;2024-12-23 08:30:13
Sacerdote ou Membro de Ordem ou Seita Religiosa;665;0,0014;2024-12-23 08:30:13
Policial Civil;829;0,0018;2024-12-23 08:30:13
Comunicólogo;119;0,0003;2024-12-23 08:30:13
Agenciador de Propaganda;62;0,0001;2024-12-23 08:30:13
Supervisor, Inspetor e Agente de Compras e Vendas;503;0,0011;2024-12-23 08:30:13
Modelo;30;0,0001;2024-12-23 08:30:13
Trabalhador Metalúrgico e Siderúrgico;236;0,0005;2024-12-23 08:30:13
Guia de Turismo;124;0,0003;2024-12-23 08:30:13
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);42;0,0001;2024-12-23 08:30:13
Leiloeiro, Avaliador e Assemelhados;18;0;2024-12-23 08:30:13
Lavandeiro, Tintureiro e Assemelhados;36;0,0001;2024-12-23 08:30:13
Office-Boy e Contínuo;36;0,0001;2024-12-23 08:30:13
Trabalhador em Atividade de Processamento Químico;10;0;2024-12-23 08:30:13
Montador de Máquinas;41;0,0001;2024-12-23 08:30:13
Guardador de Veículos;5;0;2024-12-23 08:30:13
Professor e Instrutor de Formação Profissional;1146;0,0025;2024-12-23 08:30:13
Vendedor de Comércio Varejista e Atacadista;3837;0,0083;2024-12-23 08:30:13
Artesão;756;0,0016;2024-12-23 08:30:13
Agente de Viagem;81;0,0002;2024-12-23 08:30:13
Agente Postal;189;0,0004;2024-12-23 08:30:13
AGENTE DE VIAGEM E GUIA DE TURISMO;25;0,0001;2024-12-23 08:30:13
Petroleiro;12;0;2024-12-23 08:30:13
Senador;4;0;2024-12-23 08:30:13
Economista Doméstico;9;0;2024-12-23 08:30:13
Tabelião;28;0,0001;2024-12-23 08:30:13
Químico;53;0,0001;2024-12-23 08:30:13
