Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;4031;0,0106;2023-03-01 15:39:11
Advogado;6920;0,0181;2023-03-01 15:39:11
Agenciador de Propaganda;75;0,0002;2023-03-01 15:39:11
Agente Administrativo;3265;0,0086;2023-03-01 15:39:11
Agente Postal;165;0,0004;2023-03-01 15:39:11
Agente de Saúde e Sanitarista;2673;0,007;2023-03-01 15:39:11
Agente de Serviços Funerários e Embalsamador;70;0,0002;2023-03-01 15:39:11
Agente de Viagem;103;0,0003;2023-03-01 15:39:11
Agricultor;42173;0,1106;2023-03-01 15:39:11
Agrônomo;689;0,0018;2023-03-01 15:39:11
Alfaiate e Costureiro;222;0,0006;2023-03-01 15:39:11
Almoxarife;272;0,0007;2023-03-01 15:39:11
Analista de Sistemas;210;0,0006;2023-03-01 15:39:11
Antropólogo;3;0;2023-03-01 15:39:11
Aposentado (Exceto Servidor Público);10839;0,0284;2023-03-01 15:39:11
Arqueólogo;4;0;2023-03-01 15:39:11
Arquiteto;218;0,0006;2023-03-01 15:39:11
Arquivista e Museólogo;11;0;2023-03-01 15:39:11
Artesão;696;0,0018;2023-03-01 15:39:11
Artista Plástico e Assemelhados;213;0,0006;2023-03-01 15:39:11
Artista de Circo;35;0,0001;2023-03-01 15:39:11
Assistente Social;600;0,0016;2023-03-01 15:39:11
Astrólogo;4;0;2023-03-01 15:39:11
Astrônomo;39;0,0001;2023-03-01 15:39:11
Atendente de Lanchonete e Restaurante;129;0,0003;2023-03-01 15:39:11
Atleta Profissional e Técnico em Desportos;149;0,0004;2023-03-01 15:39:11
Ator e Diretor de Espetáculos Públicos;92;0,0002;2023-03-01 15:39:11
Auxiliar de Escritório e Assemelhados;3907;0,0102;2023-03-01 15:39:11
Auxiliar de Laboratório;371;0,001;2023-03-01 15:39:11
Bacteriologista e Assemelhados;16;0;2023-03-01 15:39:11
Bancário e Economiário;1045;0,0027;2023-03-01 15:39:11
Bibliotecário;74;0,0002;2023-03-01 15:39:11
Biomédico;74;0,0002;2023-03-01 15:39:11
Biólogo;147;0,0004;2023-03-01 15:39:11
Bombeiro Civil;33;0,0001;2023-03-01 15:39:11
