Ocupação;Quantitativo;Porcentagem;Ano
Técnico de Contabilidade e de Estatística;52;0,0035;1998
Técnico de Eletricidade, Eletrônica e Telecomunicações;61;0,0041;1998
Técnico de Laboratório e Raios X;13;0,0009;1998
Técnico de Mecânica;11;0,0007;1998
Técnico de Química;6;0,0004;1998
Técnico em Agronomia e Agrimensura;57;0,0038;1998
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;101;0,0067;1998
Vendedor de Comércio Varejista e Atacadista;239;0,0159;1998
Veterinário e Zootecnista;42;0,0028;1998
ADMINISTRADOR;269;0,0136;2002
ADVOGADO;1593;0,0803;2002
AGENTE ADMINISTRATIVO;96;0,0048;2002
AGENTE DE SAUDE E SANITARISTA;21;0,0011;2002
AGENTE DE VIAGEM E GUIA DE TURISMO;9;0,0005;2002
AGENTE POSTAL;20;0,001;2002
AGRICULTOR;224;0,0113;2002
AGRONOMO;82;0,0041;2002
ALFAIATE E COSTUREIRO;9;0,0005;2002
ALMOXARIFE;10;0,0005;2002
ANALISTA DE SISTEMAS;21;0,0011;2002
ANTROPOLOGO;8;0,0004;2002
APOSENTADO (EXCETO SERVIDOR PUBLICO);337;0,017;2002
ARQUITETO;53;0,0027;2002
ARTESAO;15;0,0008;2002
ARTISTA DE CIRCO;6;0,0003;2002
ASSISTENTE SOCIAL;40;0,002;2002
ASTRONOMO;1;0,0001;2002
ATENDENTE DE LANCHONETE E RESTAURANTE;1;0,0001;2002
ATLETA PROFISSIONAL E TECNICO EM DESPORTOS;17;0,0009;2002
ATOR E DIRETOR DE ESPETACULOS PUBLICOS;16;0,0008;2002
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;80;0,004;2002
AUXILIAR DE LABORATORIO;5;0,0003;2002
BANCARIO E ECONOMIARIO;169;0,0085;2002
BIBLIOTECARIO, ARQUIVISTA, MUSEOLOGO E ARQUEOLOGO;1;0,0001;2002
BIOLOGO E BIOMEDICO;19;0,001;2002
BOMBEIRO CIVIL;2;0,0001;2002
BOMBEIRO E INSTALADOR DE GAS, AGUA, ESGOTO E ASSEMELHADOS;3;0,0002;2002
BOMBEIRO MILITAR;43;0,0022;2002
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;44;0,0022;2002
CANTOR E COMPOSITOR;33;0,0017;2002
CHAVEIRO;1;0,0001;2002
CIENTISTA POLITICO;7;0,0004;2002
COBRADOR DE TRANSPORTE COLETIVO;7;0,0004;2002
COMERCIANTE;1376;0,0694;2002
COMERCIARIO;106;0,0053;2002
COMUNICOLOGO;15;0,0008;2002
CONTADOR;148;0,0075;2002
COREOGRAFO E BAILARINO;1;0,0001;2002
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;150;0,0076;2002
COZINHEIRO;8;0,0004;2002
DECORADOR;8;0,0004;2002
DESENHISTA;20;0,001;2002
DESPACHANTE;26;0,0013;2002
DETETIVE PARTICULAR;8;0,0004;2002
DIGITADOR;17;0,0009;2002
DIPLOMATA;3;0,0002;2002
DIRETOR DE EMPRESAS;49;0,0025;2002
DIRETOR DE ESTABELECIMENTO DE ENSINO;11;0,0006;2002
DONA DE CASA;99;0,005;2002
ECONOMISTA;172;0,0087;2002
ECONOMISTA DOMESTICO;1;0,0001;2002
ELETRICISTA E ASSEMELHADOS;51;0,0026;2002
EMPREGADO DOMESTICO;10;0,0005;2002
EMPRESARIO;1190;0,06;2002
EMPRESARIO E PRODUTOR DE ESPETACULOS PUBLICOS;34;0,0017;2002
ENCANADOR,SOLDADOR,CHAPEADOR,CALDEIREIRO,MONTADOR DE ESTRUTURA METALIC;10;0,0005;2002
ENFERMEIRO;59;0,003;2002
ENGENHEIRO;451;0,0227;2002
ENGRAXATE;1;0,0001;2002
ESCRITOR E CRITICO;20;0,001;2002
ESCULTOR, PINTOR, ARTISTA PLASTICO E ASSEMELHADOS;16;0,0008;2002
ESTIVADOR, CARREGADOR, EMBALADOR E ASSEMELHADOS;2;0,0001;2002
ESTOFADOR;2;0,0001;2002
ESTUDANTE,BOLSISTA, ESTAGIARIO E ASSEMELHADOS;271;0,0137;2002
FARMACEUTICO;35;0,0018;2002
FEIRANTE, AMBULANTE E MASCATE;10;0,0005;2002
FERROVIARIO;11;0,0006;2002
FIANDEIRO, TECELAO, TINGIDOR E TRABALHADOR ASSEMELHADO;2;0,0001;2002
FISCAL;34;0,0017;2002
FISICO;2;0,0001;2002
FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;20;0,001;2002
FONOAUDIOLOGO;5;0,0003;2002
