Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;693;0,0238;2024-11-13 10:55:17
Advogado;1823;0,0625;2024-11-13 10:55:17
Agenciador de Propaganda;2;0,0001;2024-11-13 10:55:17
Agente Administrativo;127;0,0044;2024-11-13 10:55:17
Agente Postal;13;0,0004;2024-11-13 10:55:17
Agente de Saúde e Sanitarista;88;0,003;2024-11-13 10:55:17
Agente de Serviços Funerários e Embalsamador;3;0,0001;2024-11-13 10:55:17
Agente de Viagem;4;0,0001;2024-11-13 10:55:17
Agricultor;259;0,0089;2024-11-13 10:55:17
Agrônomo;35;0,0012;2024-11-13 10:55:17
Alfaiate e Costureiro;7;0,0002;2024-11-13 10:55:17
Almoxarife;5;0,0002;2024-11-13 10:55:17
Analista de Sistemas;51;0,0017;2024-11-13 10:55:17
Antropólogo;4;0,0001;2024-11-13 10:55:17
Aposentado (Exceto Servidor Público);794;0,0272;2024-11-13 10:55:17
Arquiteto;63;0,0022;2024-11-13 10:55:17
Arquivista e Museólogo;3;0,0001;2024-11-13 10:55:17
Artesão;49;0,0017;2024-11-13 10:55:17
Artista Plástico e Assemelhados;31;0,0011;2024-11-13 10:55:17
Artista de Circo;8;0,0003;2024-11-13 10:55:17
Assistente Social;180;0,0062;2024-11-13 10:55:17
Astrólogo;1;0;2024-11-13 10:55:17
Astrônomo;11;0,0004;2024-11-13 10:55:17
Atendente de Lanchonete e Restaurante;14;0,0005;2024-11-13 10:55:17
Atleta Profissional e Técnico em Desportos;27;0,0009;2024-11-13 10:55:17
Ator e Diretor de Espetáculos Públicos;42;0,0014;2024-11-13 10:55:17
Auxiliar de Escritório e Assemelhados;205;0,007;2024-11-13 10:55:17
Auxiliar de Laboratório;7;0,0002;2024-11-13 10:55:17
Bancário e Economiário;100;0,0034;2024-11-13 10:55:17
Bibliotecário;8;0,0003;2024-11-13 10:55:17
Biomédico;13;0,0004;2024-11-13 10:55:17
Biólogo;25;0,0009;2024-11-13 10:55:17
Bombeiro Civil;19;0,0007;2024-11-13 10:55:17
Bombeiro Militar;105;0,0036;2024-11-13 10:55:17
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;2;0,0001;2024-11-13 10:55:17
Cabeleireiro e Barbeiro;167;0,0057;2024-11-13 10:55:17
Cantor e Compositor;74;0,0025;2024-11-13 10:55:17
Capitalista de Ativos Financeiros;2;0,0001;2024-11-13 10:55:17
Carpinteiro, Marceneiro e Assemelhados;15;0,0005;2024-11-13 10:55:17
Catador de Recicláveis;9;0,0003;2024-11-13 10:55:17
Ceramista e Oleiro;1;0;2024-11-13 10:55:17
Chaveiro;2;0,0001;2024-11-13 10:55:17
Cientista Político;14;0,0005;2024-11-13 10:55:17
Cobrador de Transporte Coletivo;23;0,0008;2024-11-13 10:55:17
Comandante de Embarcações;1;0;2024-11-13 10:55:17
Comerciante;1019;0,035;2024-11-13 10:55:17
Comerciário;77;0,0026;2024-11-13 10:55:17
Comissário de Bordo;2;0,0001;2024-11-13 10:55:17
Comunicólogo;17;0,0006;2024-11-13 10:55:17
Contador;202;0,0069;2024-11-13 10:55:17
Coreógrafo e Bailarino;3;0,0001;2024-11-13 10:55:17
Corretor de Imóveis, Seguros, Títulos e Valores;270;0,0093;2024-11-13 10:55:17
Cozinheiro;50;0,0017;2024-11-13 10:55:17
Decorador;3;0,0001;2024-11-13 10:55:17
Deputado;1117;0,0383;2024-11-13 10:55:17
Desenhista;10;0,0003;2024-11-13 10:55:17
Despachante;21;0,0007;2024-11-13 10:55:17
Detetive Particular;8;0,0003;2024-11-13 10:55:17
Digitador;5;0,0002;2024-11-13 10:55:17
Diretor de Empresas;25;0,0009;2024-11-13 10:55:17
Diretor de Estabelecimento de Ensino;22;0,0008;2024-11-13 10:55:17
Dona de Casa;495;0,017;2024-11-13 10:55:17
Economista;119;0,0041;2024-11-13 10:55:17
Economista Doméstico;3;0,0001;2024-11-13 10:55:17
Eletricista e Assemelhados;68;0,0023;2024-11-13 10:55:17
Embalador, Empacotador e Assemelhados;1;0;2024-11-13 10:55:17
Empregado Doméstico;25;0,0009;2024-11-13 10:55:17
Empresário;3012;0,1033;2024-11-13 10:55:17
Encanador, Soldador, Chapeador e Caldeireiro;7;0,0002;2024-11-13 10:55:17
Enfermeiro;213;0,0073;2024-11-13 10:55:17
Engenheiro;355;0,0122;2024-11-13 10:55:17
Engraxate;1;0;2024-11-13 10:55:17
Escritor e Crítico;27;0,0009;2024-11-13 10:55:17
Escultor e Pintor;4;0,0001;2024-11-13 10:55:17
Estatístico;2;0,0001;2024-11-13 10:55:17
Esteticista;34;0,0012;2024-11-13 10:55:17
Estudante, Bolsista, Estagiário e Assemelhados;573;0,0197;2024-11-13 10:55:17
Farmacêutico;54;0,0019;2024-11-13 10:55:17
Faxineiro;13;0,0004;2024-11-13 10:55:17
Feirante, Ambulante e Mascate;22;0,0008;2024-11-13 10:55:17
Ferroviário;5;0,0002;2024-11-13 10:55:17
Fiandeiro, Tecelão, Tingidor e Assemelhados;1;0;2024-11-13 10:55:17
Fiscal;32;0,0011;2024-11-13 10:55:17
Fisioterapeuta e Terapeuta Ocupacional;59;0,002;2024-11-13 10:55:17
Fonoaudiólogo;8;0,0003;2024-11-13 10:55:17
Fotógrafo e Assemelhados;39;0,0013;2024-11-13 10:55:17
Frentista;8;0,0003;2024-11-13 10:55:17
Funileiro;3;0,0001;2024-11-13 10:55:17
Físico;1;0;2024-11-13 10:55:17
Gari ou Lixeiro;20;0,0007;2024-11-13 10:55:17
Garimpeiro;6;0,0002;2024-11-13 10:55:17
Garçom;29;0,001;2024-11-13 10:55:17
Gerente;124;0,0043;2024-11-13 10:55:17
Geógrafo;9;0,0003;2024-11-13 10:55:17
Geólogo;5;0,0002;2024-11-13 10:55:17
Governador;16;0,0005;2024-11-13 10:55:17
Governanta;1;0;2024-11-13 10:55:17
Guia de Turismo;9;0,0003;2024-11-13 10:55:17
Historiador;22;0,0008;2024-11-13 10:55:17
Industrial;17;0,0006;2024-11-13 10:55:17
Jardineiro;5;0,0002;2024-11-13 10:55:17
Jornaleiro;5;0,0002;2024-11-13 10:55:17
