Ocupação;Quantitativo;Porcentagem;Data de carga
Jornalista e Redator;322;0,0123;2023-10-19 16:17:44
Lanterneiro e Pintor de Veículos;2;0,0001;2021-06-23 18:50:53
Leiturista;1;0;2021-06-23 18:50:53
Locutor e Comentarista de Rádio e Televisão e Radialista;119;0,0045;2021-06-23 18:50:53
Manicure e Maquilador;19;0,0007;2021-06-23 18:50:53
Marinheiro Civil, Canoeiro, Embarcado e Assemelhados;3;0,0001;2021-06-23 18:50:53
Massagista;6;0,0002;2021-06-23 18:50:53
Matemático e Atuário;1;0;2021-06-23 18:50:53
Mecânico de Manutenção;44;0,0017;2021-06-23 18:50:53
Membro das Forças Armadas;58;0,0022;2021-06-23 18:50:53
Membro do Ministério Público;8;0,0003;2021-06-23 18:50:53
Meteorologista;1;0;2021-06-23 18:50:53
Militar Reformado;127;0,0049;2023-10-19 16:17:44
Ministro de Estado;5;0,0002;2021-06-23 18:50:53
Modelo;3;0,0001;2021-06-23 18:50:53
Montador de Estrutura Metálica;1;0;2021-06-23 18:50:53
Montador de Máquinas;1;0;2021-06-23 18:50:53
Motoboy;25;0,001;2021-06-23 18:50:53
Motorista Particular;103;0,0039;2021-06-23 18:50:53
Motorista de Veículos de Transporte Coletivo de Passageiros;98;0,0037;2021-06-23 18:50:53
Motorista de Veículos de Transporte de Carga;44;0,0017;2021-06-23 18:50:53
Médico;609;0,0233;2023-10-19 16:17:44
Músico;83;0,0032;2021-06-23 18:50:53
Nutricionista e Assemelhados;16;0,0006;2021-06-23 18:50:53
Oceanógrafo;6;0,0002;2021-06-23 18:50:53
Ocupante de Cargo em Comissão;47;0,0018;2021-06-23 18:50:53
Odontólogo;88;0,0034;2021-06-23 18:50:53
Office-Boy e Contínuo;1;0;2021-06-23 18:50:53
Operador de Aparelhos de Produção Industrial;10;0,0004;2021-06-23 18:50:53
Operador de Computador;2;0,0001;2021-06-23 18:50:53
Operador de Equipamento de Rádio, Televisão, Som e Cinema;19;0,0007;2021-06-23 18:50:53
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;1;0;2021-06-23 18:50:53
Operador de Instalação de Produção de Energia Elétrica e Nuclear;2;0,0001;2021-06-23 18:50:53
Outros;4344;0,166;2021-06-23 18:50:53
Padeiro, Confeiteiro e Assemelhados;14;0,0005;2021-06-23 18:50:53
Pecuarista;67;0,0026;2021-06-23 18:50:53
Pedagogo;163;0,0062;2021-06-23 18:50:53
Pescador;18;0,0007;2021-06-23 18:50:53
Petroleiro;13;0,0005;2021-06-23 18:50:53
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;2;0,0001;2021-06-23 18:50:53
Policial Civil;156;0,006;2021-06-23 18:50:53
Policial Militar;576;0,022;2021-06-23 18:50:53
Porteiro de Edifício, Ascensorista, Garagista e Zelador;35;0,0013;2021-06-23 18:50:53
Prefeito;2;0,0001;2021-06-23 18:50:53
Presidente da República;1;0;2023-10-19 16:17:44
Produtor Agropecuário;60;0,0023;2021-06-23 18:50:53
Produtor de Espetáculos Públicos;26;0,001;2021-06-23 18:50:53
Professor de Ensino Fundamental;390;0,0149;2021-06-23 18:50:53
Professor de Ensino Médio;788;0,0301;2023-10-19 16:17:44
Professor de Ensino Superior;348;0,0133;2023-10-19 16:17:44
Professor e Instrutor de Formação Profissional;97;0,0037;2021-06-23 18:50:53
Programador de Computador;5;0,0002;2021-06-23 18:50:53
Protético;12;0,0005;2021-06-23 18:50:53
Psicólogo;82;0,0031;2021-06-23 18:50:53
Publicitário;86;0,0033;2021-06-23 18:50:53
Químico;8;0,0003;2021-06-23 18:50:53
Recepcionista;48;0,0018;2021-06-23 18:50:53
Relações-Públicas;11;0,0004;2021-06-23 18:50:53
Relojoeiro e Montador de Instrumento de Precisão;1;0;2021-06-23 18:50:53
Representante Comercial;123;0,0047;2021-06-23 18:50:53
Sacerdote ou Membro de Ordem ou Seita Religiosa;115;0,0044;2021-06-23 18:50:53
Secretário e Datilógrafo;146;0,0056;2021-06-23 18:50:53
Securitário;8;0,0003;2021-06-23 18:50:53
Senador;35;0,0013;2023-10-19 16:17:44
Serralheiro;9;0,0003;2021-06-23 18:50:53
